TechCode,CropCode,Variable,Filename,Crop,Tech,Archive
I,SUGB,VOP,spam2017V2r1_SSA_V_SUGB_I.tif,sugarbeet,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,SUGC,VOP,spam2017V2r1_SSA_V_SUGC_I.tif,sugarcane,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,SUNF,VOP,spam2017V2r1_SSA_V_SUNF_I.tif,sunflower,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,SWPO,VOP,spam2017V2r1_SSA_V_SWPO_I.tif,sweet potato,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,TEAS,VOP,spam2017V2r1_SSA_V_TEAS_I.tif,tea,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,TEMF,VOP,spam2017V2r1_SSA_V_TEMF_I.tif,temperate fruit,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,TOBA,VOP,spam2017V2r1_SSA_V_TOBA_I.tif,tobacco,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,TROF,VOP,spam2017V2r1_SSA_V_TROF_I.tif,tropical fruit,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,VEGE,VOP,spam2017V2r1_SSA_V_VEGE_I.tif,vegetables,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,WHEA,VOP,spam2017V2r1_SSA_V_WHEA_I.tif,wheat,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,YAMS,VOP,spam2017V2r1_SSA_V_YAMS_I.tif,yams,irrigated,spam2017v2r1_ssa_val_prod.geotiff
L,ACOF,VOP,spam2017V2r1_SSA_V_ACOF_L.tif,arabica coffee,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,BANA,VOP,spam2017V2r1_SSA_V_BANA_L.tif,banana,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,BARL,VOP,spam2017V2r1_SSA_V_BARL_L.tif,barley,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,BEAN,VOP,spam2017V2r1_SSA_V_BEAN_L.tif,bean,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,CASS,VOP,spam2017V2r1_SSA_V_CASS_L.tif,cassava,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,CHIC,VOP,spam2017V2r1_SSA_V_CHIC_L.tif,chickpea,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,CNUT,VOP,spam2017V2r1_SSA_V_CNUT_L.tif,coconut,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,COCO,VOP,spam2017V2r1_SSA_V_COCO_L.tif,cocoa,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,COTT,VOP,spam2017V2r1_SSA_V_COTT_L.tif,cotton,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,COWP,VOP,spam2017V2r1_SSA_V_COWP_L.tif,cowpea,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,GROU,VOP,spam2017V2r1_SSA_V_GROU_L.tif,groundnut,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,LENT,VOP,spam2017V2r1_SSA_V_LENT_L.tif,lentil,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,MAIZ,VOP,spam2017V2r1_SSA_V_MAIZ_L.tif,maize,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,OCER,VOP,spam2017V2r1_SSA_V_OCER_L.tif,other cereals,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,OFIB,VOP,spam2017V2r1_SSA_V_OFIB_L.tif,other fibre crops,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,OILP,VOP,spam2017V2r1_SSA_V_OILP_L.tif,oilpalm,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,OOIL,VOP,spam2017V2r1_SSA_V_OOIL_L.tif,other oil crops,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,OPUL,VOP,spam2017V2r1_SSA_V_OPUL_L.tif,other pulses,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,ORTS,VOP,spam2017V2r1_SSA_V_ORTS_L.tif,other roots,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,PIGE,VOP,spam2017V2r1_SSA_V_PIGE_L.tif,pigeonpea,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,PLNT,VOP,spam2017V2r1_SSA_V_PLNT_L.tif,plantain,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,PMIL,VOP,spam2017V2r1_SSA_V_PMIL_L.tif,pearl millet,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,POTA,VOP,spam2017V2r1_SSA_V_POTA_L.tif,potato,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,RAPE,VOP,spam2017V2r1_SSA_V_RAPE_L.tif,rapeseed,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,RCOF,VOP,spam2017V2r1_SSA_V_RCOF_L.tif,robusta coffee,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,REST,VOP,spam2017V2r1_SSA_V_REST_L.tif,rest of crops,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
L,RICE,VOP,spam2017V2r1_SSA_V_RICE_L.tif,rice,rainfed low inputs,spam2017v2r1_ssa_val_prod.geotiff
